Datetime,Discharge_ML_day,QC
08/08/1992 00:00:00,608.51,1
09/08/1992 00:00:00,554.982,1
10/08/1992 00:00:00,852.944,1
11/08/1992 00:00:00,728.18,1
12/08/1992 00:00:00,664.519,1
13/08/1992 00:00:00,620.165,1
14/08/1992 00:00:00,666.801,1
15/08/1992 00:00:00,839.206,1
16/08/1992 00:00:00,837.444,1
17/08/1992 00:00:00,897.406,1
18/08/1992 00:00:00,854.099,1
19/08/1992 00:00:00,870.683,1
20/08/1992 00:00:00,838.527,1
21/08/1992 00:00:00,915.131,1
22/08/1992 00:00:00,864.396,1
23/08/1992 00:00:00,1020.447,1
24/08/1992 00:00:00,928.986,1
25/08/1992 00:00:00,835.346,1
26/08/1992 00:00:00,804.369,1
27/08/1992 00:00:00,801.451,1
28/08/1992 00:00:00,906.487,1
29/08/1992 00:00:00,963.145,1
30/08/1992 00:00:00,919.437,1
31/08/1992 00:00:00,916.003,1
01/09/1992 00:00:00,1012.058,1
02/09/1992 00:00:00,924.38,1
03/09/1992 00:00:00,1331.148,1
04/09/1992 00:00:00,1889.446,1
05/09/1992 00:00:00,1690.918,1
06/09/1992 00:00:00,1466.208,1
07/09/1992 00:00:00,1326.775,1
08/09/1992 00:00:00,1236.8,1
09/09/1992 00:00:00,1190.442,1
10/09/1992 00:00:00,1158.584,1
11/09/1992 00:00:00,1245.312,1
12/09/1992 00:00:00,1161.756,1
13/09/1992 00:00:00,1129.033,1
14/09/1992 00:00:00,1135.767,1
15/09/1992 00:00:00,1488.962,1
16/09/1992 00:00:00,1344.204,1
17/09/1992 00:00:00,1258.308,1
18/09/1992 00:00:00,1346.385,1
19/09/1992 00:00:00,1451.398,1
20/09/1992 00:00:00,1703.793,1
21/09/1992 00:00:00,1702.259,1
22/09/1992 00:00:00,1567.286,1
23/09/1992 00:00:00,1378.685,1
24/09/1992 00:00:00,1251.252,1
25/09/1992 00:00:00,1235.943,1
26/09/1992 00:00:00,2549.733,1
27/09/1992 00:00:00,10554.418,1
28/09/1992 00:00:00,9257.844,1
29/09/1992 00:00:00,5498.469,1
30/09/1992 00:00:00,4135.575,1
01/10/1992 00:00:00,3451.058,1
02/10/1992 00:00:00,3700.719,1
03/10/1992 00:00:00,3007.35,1
04/10/1992 00:00:00,2492.775,1
05/10/1992 00:00:00,2302.476,1
06/10/1992 00:00:00,2117.977,1
07/10/1992 00:00:00,2463.141,1
08/10/1992 00:00:00,2554.935,1
09/10/1992 00:00:00,2039.774,1
10/10/1992 00:00:00,1974.418,1
11/10/1992 00:00:00,1934.455,1
12/10/1992 00:00:00,3100.969,1
13/10/1992 00:00:00,2514.98,1
14/10/1992 00:00:00,2267.057,1
15/10/1992 00:00:00,1881.42,1
16/10/1992 00:00:00,1683.701,1
17/10/1992 00:00:00,1540.209,1
18/10/1992 00:00:00,1698.357,1
19/10/1992 00:00:00,2995.763,1
20/10/1992 00:00:00,4263.156,1
21/10/1992 00:00:00,5321.5,1
22/10/1992 00:00:00,5438.377,1
23/10/1992 00:00:00,5071.259,1
24/10/1992 00:00:00,4591.385,1
25/10/1992 00:00:00,4014.032,1
